1|1|79|05:28:00|05:28:00
2|1|52|05:34:00|05:38:00
3|2|136|05:24:00|05:35:00
4|3|10|05:20:00|05:26:00
5|3|34|05:35:00|05:38:00
6|4|79|05:28:00|05:38:00
7|5|79|05:28:00|05:33:00
8|6|49|05:18:00|05:32:00
9|7|79|05:28:00|05:28:00
10|7|52|05:34:00|05:39:00
11|9|10|05:20:00|05:26:00
12|10|10|05:20:00|05:36:00
13|11|10|05:20:00|05:36:00
14|12|79|05:28:00|05:33:00
15|12|43|05:39:00|05:45:00
16|13|10|05:20:00|05:36:00
17|14|79|05:28:00|05:38:00
18|15|79|05:28:00|05:33:00
19|16|10|05:20:00|05:28:00
20|17|10|05:20:00|05:36:00
21|18|10|05:20:00|05:26:00
22|19|91|05:27:00|05:37:00
23|20|10|05:20:00|05:26:00
24|20|34|05:35:00|05:38:00
25|21|10|05:20:00|05:36:00
26|22|10|05:20:00|05:28:00
27|22|134|05:38:00|05:38:00
28|23|10|05:20:00|05:26:00
29|23|34|05:35:00|05:38:00
30|24|10|05:20:00|05:36:00
31|25|136|05:24:00|05:36:00
32|26|49|05:18:00|05:28:00
33|26|11|05:36:00|05:45:00
34|27|10|05:20:00|05:36:00
35|28|79|05:28:00|05:33:00
36|28|43|05:39:00|05:45:00
37|30|136|05:24:00|05:36:00
38|30|93|05:47:00|05:51:00
39|31|49|05:18:00|05:32:00
40|34|49|05:18:00|05:28:00
41|35|79|05:28:00|05:33:00
42|36|10|05:20:00|05:26:00
43|36|34|05:35:00|05:38:00
44|37|91|05:27:00|05:37:00
45|38|10|05:20:00|05:36:00
46|39|79|05:28:00|05:33:00
47|39|43|05:39:00|05:45:00
48|40|10|05:20:00|05:36:00
49|41|79|05:28:00|05:33:00
50|42|10|05:20:00|05:26:00
51|43|79|05:28:00|05:28:00
52|43|52|05:34:00|05:39:00
53|44|10|05:20:00|05:26:00
54|45|10|05:20:00|05:26:00
55|46|91|05:27:00|05:37:00
56|47|49|05:18:00|05:32:00
57|47|26|05:36:00|05:36:00
58|47|60|05:46:00|05:48:00
59|47|3|06:05:00|06:10:00
60|48|79|05:28:00|05:38:00
61|48|56|05:47:00|05:56:00
62|49|10|05:20:00|05:26:00
63|49|34|05:35:00|05:38:00
64|50|91|05:27:00|05:37:00
65|51|10|05:20:00|05:26:00
66|51|34|05:35:00|05:38:00
67|52|10|05:20:00|05:28:00
68|53|79|05:28:00|05:28:00
69|56|10|05:20:00|05:36:00
70|57|10|05:20:00|05:26:00
71|58|10|05:20:00|05:26:00
72|58|104|05:33:00|05:37:00
73|59|79|05:28:00|05:28:00
74|59|52|05:34:00|05:39:00
75|61|79|05:28:00|05:28:00
76|61|52|05:34:00|05:38:00
77|62|136|05:24:00|05:36:00
78|63|10|05:20:00|05:26:00
79|64|10|05:20:00|05:26:00
80|64|34|05:35:00|05:38:00
81|65|10|05:20:00|05:26:00
82|66|10|05:20:00|05:26:00
83|66|34|05:35:00|05:38:00
84|67|79|05:28:00|05:33:00
85|68|10|05:20:00|05:26:00
86|69|10|05:20:00|05:26:00
87|70|49|05:18:00|05:28:00
88|72|79|05:28:00|05:33:00
89|72|43|05:39:00|05:45:00
90|73|10|05:20:00|05:26:00
91|73|34|05:35:00|05:38:00
92|74|10|05:20:00|05:36:00
93|75|136|05:24:00|05:36:00
94|75|93|05:47:00|05:51:00
95|76|136|05:24:00|05:36:00
96|77|136|05:24:00|05:36:00
97|77|93|05:47:00|05:51:00
98|78|79|05:28:00|05:28:00
99|78|52|05:34:00|05:39:00
100|79|10|05:20:00|05:26:00
101|80|10|05:20:00|05:26:00
102|80|22|05:32:00|05:42:00
103|81|10|05:20:00|05:26:00
104|81|34|05:35:00|05:38:00
105|82|10|05:20:00|05:26:00
106|83|10|05:20:00|05:26:00
107|84|79|05:28:00|05:28:00
108|84|52|05:34:00|05:39:00
109|85|136|05:24:00|05:36:00
110|86|49|05:18:00|05:28:00
111|86|11|05:36:00|05:45:00
112|88|79|05:28:00|05:28:00
113|88|52|05:34:00|05:38:00
114|89|49|05:18:00|05:32:00
115|90|10|05:20:00|05:36:00
116|91|136|05:24:00|05:36:00
117|94|79|05:28:00|05:28:00
118|94|52|05:34:00|05:38:00
119|95|91|05:27:00|05:37:00
120|96|10|05:20:00|05:26:00
121|97|79|05:28:00|05:33:00
122|97|43|05:39:00|05:45:00
123|99|10|05:20:00|05:28:00
124|100|79|05:28:00|05:28:00
125|100|52|05:34:00|05:39:00
126|101|10|05:20:00|05:36:00
127|102|79|05:28:00|05:38:00
128|103|79|05:28:00|05:33:00
129|105|10|05:20:00|05:28:00
130|106|136|05:24:00|05:36:00
131|107|136|05:24:00|05:36:00
132|108|49|05:18:00|05:32:00
133|108|26|05:36:00|05:36:00
134|109|49|05:18:00|05:28:00
135|110|136|05:24:00|05:36:00
136|111|136|05:24:00|05:36:00
137|112|136|05:24:00|05:36:00
138|113|10|05:20:00|05:28:00
139|116|79|05:28:00|05:33:00
140|117|91|05:27:00|05:37:00
141|118|91|05:27:00|05:37:00
142|119|10|05:20:00|05:36:00
143|120|10|05:20:00|05:26:00
144|122|10|05:20:00|05:28:00
145|123|79|05:28:00|05:33:00
146|125|10|05:20:00|05:26:00
147|125|22|05:32:00|05:32:00
148|126|79|05:28:00|05:33:00
149|127|10|05:20:00|05:26:00
150|128|10|05:20:00|05:28:00
151|129|10|05:20:00|05:26:00
152|129|34|05:35:00|05:38:00
153|130|10|05:20:00|05:28:00
154|131|10|05:20:00|05:26:00
155|131|34|05:35:00|05:38:00
156|132|79|05:28:00|05:33:00
157|133|10|05:20:00|05:26:00
158|134|10|05:20:00|05:36:00
159|135|10|05:20:00|05:36:00
160|137|136|05:24:00|05:36:00
161|138|79|05:28:00|05:28:00
162|138|52|05:34:00|05:38:00
163|139|79|05:28:00|05:28:00
164|139|52|05:34:00|05:38:00
165|140|10|05:20:00|05:28:00
166|141|79|05:28:00|05:28:00
167|141|52|05:34:00|05:39:00
168|142|49|05:18:00|05:28:00
169|142|11|05:36:00|05:45:00
170|143|52|05:11:00|05:11:00
171|143|79|05:17:00|05:28:00
172|144|52|05:11:00|05:23:00
173|145|116|05:28:00|05:30:00
174|146|52|05:11:00|05:11:00
175|146|79|05:19:00|05:24:00
176|147|52|05:11:00|05:11:00
177|147|79|05:19:00|05:22:00
178|148|60|05:20:00|05:20:00
179|150|52|05:11:00|05:11:00
180|150|79|05:17:00|05:17:00
181|151|22|05:18:00|05:32:00
182|152|116|05:15:00|05:15:00
183|152|134|05:23:00|05:26:00
184|153|116|05:15:00|05:15:00
185|153|134|05:23:00|05:26:00
186|154|31|05:26:00|05:29:00
187|155|116|05:15:00|05:15:00
188|155|134|05:23:00|05:26:00
